    Value  Size Type    Bind   Vis      Ndx Name
 02013dc5   164 FUNC    GLOBAL DEFAULT  283 part_init
 02013e69    64 FUNC    GLOBAL DEFAULT  284 part_get
 02013ea9   396 FUNC    GLOBAL DEFAULT  285 part_load
 02014035   124 FUNC    GLOBAL DEFAULT  286 part_dump
 020140b1     4 FUNC    GLOBAL DEFAULT  287 platform_set_chrg_cur
 020140b5    30 FUNC    GLOBAL DEFAULT  288 usb_accessory_in
 020140d5    84 FUNC    GLOBAL DEFAULT  289 usb_cable_in
 02014129    56 FUNC    GLOBAL DEFAULT  290 platform_vusb_on
 02014161    14 FUNC    GLOBAL DEFAULT  291 platform_wdt_all_kick
 0201416f     4 FUNC    GLOBAL DEFAULT  292 platform_wdt_kick
 02014175    68 FUNC    GLOBAL DEFAULT  293 platform_safe_mode
 020141b9    56 FUNC    GLOBAL DEFAULT  294 platform_emergency_downlo
 020141f1    30 FUNC    GLOBAL DEFAULT  295 platform_get_mcp_id
 0201420f     8 FUNC    GLOBAL DEFAULT  296 platform_chip_ver
 02014217     4 FUNC    GLOBAL DEFAULT  297 platform_com_wait_forever
 0201421d    16 FUNC    GLOBAL DEFAULT  298 platform_sram_repair_enab
 0201422d   272 FUNC    GLOBAL DEFAULT  299 platform_pre_init
 02014345   340 FUNC    GLOBAL DEFAULT  300 platform_init
 02014499   412 FUNC    GLOBAL DEFAULT  301 platform_post_init
 02014635    88 FUNC    GLOBAL DEFAULT  302 platform_error_handler
 0201468d    32 FUNC    GLOBAL DEFAULT  303 platform_assert
 020146ad    36 FUNC    LOCAL  DEFAULT  304 outchar
 020146d1    58 FUNC    LOCAL  DEFAULT  305 outhex
 0201470b    40 FUNC    LOCAL  DEFAULT  306 outdec
 02014735    68 FUNC    GLOBAL DEFAULT  307 log_ctrl
 02014779    20 FUNC    GLOBAL DEFAULT  308 log_status
 0201478d   336 FUNC    GLOBAL DEFAULT  309 vprint
 020148dd    24 FUNC    GLOBAL DEFAULT  310 print
 020148f5    18 FUNC    GLOBAL DEFAULT  311 dbg_print
 02014909    72 FUNC    GLOBAL DEFAULT  312 sec_auth
 02014959     4 FUNC    GLOBAL DEFAULT  313 sec_hash
 02014965    40 FUNC    GLOBAL DEFAULT  314 da_auth_init
 02014995    40 FUNC    GLOBAL DEFAULT  315 img_auth_init
 020149c5    44 FUNC    GLOBAL DEFAULT  316 sec_boot_img_check
 020149f9   244 FUNC    GLOBAL DEFAULT  317 sec_boot_check
 02014aed     2 FUNC    GLOBAL DEFAULT  318 sec_ctrl_init
 02014aef     2 FUNC    GLOBAL DEFAULT  319 sec_flashtool_cfg_init
 02014af1   124 FUNC    GLOBAL DEFAULT  320 sec_key_init
 02014b6d   172 FUNC    GLOBAL DEFAULT  321 sec_cfg_load
 02014c19   148 FUNC    GLOBAL DEFAULT  322 sec_cfg_save
 02014cad   288 FUNC    GLOBAL DEFAULT  323 sec_lib_init
 02014dcd    84 FUNC    GLOBAL DEFAULT  324 is_BR_cmd_disabled
 02014e21   188 FUNC    GLOBAL DEFAULT  325 sec_region_check
 02014edd    52 FUNC    GLOBAL DEFAULT  326 sec_rom_info_init
 02014f11    72 FUNC    GLOBAL DEFAULT  327 factory_mode_valid
 02014f59   220 FUNC    GLOBAL DEFAULT  328 sec_lib_read_secro
 02015035   380 FUNC    GLOBAL DEFAULT  329 sec2plname
 020151b1     8 FUNC    GLOBAL DEFAULT  330 sec_util_get_secro_buf
 020151b9     8 FUNC    GLOBAL DEFAULT  331 sec_util_get_img_buf
 020151c1     8 FUNC    GLOBAL DEFAULT  332 sec_util_get_chunk_buf
 020151c9     8 FUNC    GLOBAL DEFAULT  333 sec_util_get_working_buf
 020151d1   244 FUNC    GLOBAL DEFAULT  334 sec_util_read_image
 020152c5   436 FUNC    GLOBAL DEFAULT  335 sec_util_brom_download_re
 02015479    16 FUNC    GLOBAL DEFAULT  336 strlen
 02015489    22 FUNC    GLOBAL DEFAULT  337 strcmp
 0201549f    30 FUNC    GLOBAL DEFAULT  338 strncmp
 020154bd    16 FUNC    GLOBAL DEFAULT  339 memset
 020154cd    18 FUNC    GLOBAL DEFAULT  340 memcpy
 020154df    28 FUNC    GLOBAL DEFAULT  341 memcmp
 020154fd    48 FUNC    GLOBAL DEFAULT  342 mtk_uart_power_on
 0201552d   116 FUNC    GLOBAL DEFAULT  343 serial_setbrg
 020155a1    68 FUNC    GLOBAL DEFAULT  344 mtk_serial_set_current_ua
 020155e5   112 FUNC    GLOBAL DEFAULT  345 mtk_uart_init
 02015655    40 FUNC    GLOBAL DEFAULT  346 PutUARTByte
 0201567d    80 FUNC    GLOBAL DEFAULT  347 GetUARTBytes
 020156cc   232 FUNC    GLOBAL DEFAULT  348 seclib_sec_boot_enabled
 020157c4   740 FUNC    GLOBAL DEFAULT  349 seclib_image_check
 02015ad8   140 FUNC    GLOBAL DEFAULT  350 seclib_sec_usbdl_enabled
 02015b74   100 FUNC    GLOBAL DEFAULT  351 seclib_image_hash_compute
 02015be8   156 FUNC    LOCAL  DEFAULT  352 seclib_image_allocate_mem
 02015c9c   192 FUNC    LOCAL  DEFAULT  353 seclib_image_fread
 02015d8c   304 FUNC    GLOBAL DEFAULT  354 seclib_image_hash_only
 02015ecc   368 FUNC    GLOBAL DEFAULT  355 seclib_image_search_exten
 02016044  1688 FUNC    GLOBAL DEFAULT  356 seclib_image_verify
 02016724   108 FUNC    GLOBAL DEFAULT  357 seclib_read_sbc_key
 02016798   116 FUNC    GLOBAL DEFAULT  358 seclib_read_sec_cmd_cfg
 0201680c    32 FUNC    GLOBAL DEFAULT  359 seclib_sej_init
 0201682c   132 FUNC    GLOBAL DEFAULT  360 seclib_cust_init
 020168c0     4 FUNC    GLOBAL DEFAULT  361 seclib_check
 020168c4   720 FUNC    GLOBAL DEFAULT  362 seclib_init
 02016bb4   264 FUNC    GLOBAL DEFAULT  363 seclib_secroimg_read
 02016ce4   116 FUNC    GLOBAL DEFAULT  364 sp_read_swotp
 02016d68   168 FUNC    GLOBAL DEFAULT  365 sp_sej_enc
 02016e18   196 FUNC    GLOBAL DEFAULT  366 sp_sej_dec
 02016eec   124 FUNC    GLOBAL DEFAULT  367 sp_sej_init
 02016f70   104 FUNC    GLOBAL DEFAULT  368 seclib_image_hash_dump
 02016fe0     8 FUNC    GLOBAL DEFAULT  369 get_sec_cfg_cnt_size
 02016fe8     8 FUNC    GLOBAL DEFAULT  370 get_seccfg_cipher_len
 02016ff0     8 FUNC    GLOBAL DEFAULT  371 seclib_mtk_rsa_n_key_len
 02016ff8     8 FUNC    GLOBAL DEFAULT  372 seclib_mtk_rsa_e_key_len
 02017000   240 FUNC    GLOBAL DEFAULT  373 seclib_rsa_init
 02017100   232 FUNC    GLOBAL DEFAULT  374 seclib_rsa_verify
 020171f0   500 FUNC    GLOBAL DEFAULT  375 bgn_read_str
 020173e4   160 FUNC    GLOBAL DEFAULT  376 bgn_read_bin
 02017484   120 FUNC    GLOBAL DEFAULT  377 bgn_write_bin
 02017504   136 FUNC    GLOBAL DEFAULT  378 bgn_grow
 0201759c   148 FUNC    GLOBAL DEFAULT  379 bgn_copy
 02017640    88 FUNC    GLOBAL DEFAULT  380 bgn_lset
 020176a0   100 FUNC    GLOBAL DEFAULT  381 bgn_msb
 02017704    20 FUNC    GLOBAL DEFAULT  382 bgn_size
 02017718   264 FUNC    GLOBAL DEFAULT  383 bgn_shift_l
 02017820   212 FUNC    GLOBAL DEFAULT  384 bgn_shift_r
 020178f4   208 FUNC    GLOBAL DEFAULT  385 bgn_cmp_abs
 020179c4   256 FUNC    GLOBAL DEFAULT  386 bgn_cmp_num
 02017ac4    64 FUNC    GLOBAL DEFAULT  387 bgn_cmp_int
 02017b04   320 FUNC    GLOBAL DEFAULT  388 bgn_add_abs
 02017c44   128 FUNC    GLOBAL DEFAULT  389 bgn_sub_hlp
 02017cc4   208 FUNC    GLOBAL DEFAULT  390 bgn_sub_abs
 02017d94   128 FUNC    GLOBAL DEFAULT  391 bgn_add_bgn
 02017e14   132 FUNC    GLOBAL DEFAULT  392 bgn_sub_bgn
 02017e98    64 FUNC    GLOBAL DEFAULT  393 bgn_add_int
 02017ed8    64 FUNC    GLOBAL DEFAULT  394 bgn_sub_int
 02017f18  2564 FUNC    GLOBAL DEFAULT  395 bgn_mul_hlp
 0201891c   340 FUNC    GLOBAL DEFAULT  396 bgn_mul_bgn
 02018a70    44 FUNC    GLOBAL DEFAULT  397 bgn_mul_int
 02018a9c  1488 FUNC    GLOBAL DEFAULT  398 bgn_div_bgn
 0201906c   180 FUNC    GLOBAL DEFAULT  399 bgn_mod_bgn
 02019120   176 FUNC    GLOBAL DEFAULT  400 rsa_pub
 020191d0   204 FUNC    GLOBAL DEFAULT  401 rsa_verify
 020192a4    36 FUNC    GLOBAL DEFAULT  402 get_ul
 020192c8    32 FUNC    GLOBAL DEFAULT  403 set_ul
 020192e8   176 FUNC    GLOBAL DEFAULT  404 cal_P
 02019398  1088 FUNC    LOCAL  DEFAULT  405 hash_process
 020197d8    76 FUNC    GLOBAL DEFAULT  406 hash_starts
 02019824   188 FUNC    GLOBAL DEFAULT  407 hash_update
 020198e8   152 FUNC    GLOBAL DEFAULT  408 hash_finish
 02019980    80 FUNC    GLOBAL DEFAULT  409 sha1
 020199d8   188 FUNC    GLOBAL DEFAULT  410 malloc
 02019a9c     4 FUNC    GLOBAL DEFAULT  411 free
 02019aa0    24 FUNC    GLOBAL DEFAULT  412 bgn_init
 02019ab8    68 FUNC    GLOBAL DEFAULT  413 bgn_free
 02019b04  1024 FUNC    GLOBAL DEFAULT  414 bgn_exp_mod
 02019f14    64 FUNC    GLOBAL DEFAULT  415 montg_init
 02019f54   320 FUNC    GLOBAL DEFAULT  416 montg_mul
 0201a0a4    64 FUNC    GLOBAL DEFAULT  417 montg_red
 0201a0e4    96 FUNC    GLOBAL DEFAULT  418 seclib_sbc_enabled
 0201a14c    96 FUNC    GLOBAL DEFAULT  419 seclib_daa_enabled
 0201a1b4    96 FUNC    GLOBAL DEFAULT  420 seclib_sla_enabled
 0201a21c    84 FUNC    GLOBAL DEFAULT  421 seclib_get_devinfo_with_i
 0201a278    16 FUNC    GLOBAL DEFAULT  422 seclib_brom_meta_mode
 0201a288    88 FUNC    GLOBAL DEFAULT  423 seclib_region_check
 0201a2e0   268 FUNC    GLOBAL DEFAULT  424 SEJ_V3_Init
 0201a3ec   132 FUNC    GLOBAL DEFAULT  425 SEJ_V3_Run
 0201a470    56 FUNC    GLOBAL DEFAULT  426 SEJ_V3_Terminate
 0201a4a8     8 FUNC    GLOBAL DEFAULT  427 sej_set_clk
 0201a4b0    36 FUNC    GLOBAL DEFAULT  428 sej_set_iv
 0201a4dc   108 FUNC    GLOBAL DEFAULT  429 sej_set_mode
 0201a550   268 FUNC    GLOBAL DEFAULT  430 sej_set_key
 0201a65c   268 FUNC    GLOBAL DEFAULT  431 sej_do_aes
 0201a770    28 FUNC    GLOBAL DEFAULT  432 sej_deinit
 0201a78c   288 FUNC    GLOBAL DEFAULT  433 sej_init
 0201e46d    16 OBJECT  GLOBAL DEFAULT  436 tran_mant
 0201e480    32 OBJECT  GLOBAL DEFAULT  437 tran_exp
 0201e4a0    32 OBJECT  LOCAL  DEFAULT  438 tacc_exp
 0201e4c0    64 OBJECT  LOCAL  DEFAULT  439 tacc_mant
 0201e500    36 OBJECT  LOCAL  DEFAULT  440 msdc_rsp
 0201e524    19 OBJECT  LOCAL  DEFAULT  441 __func__.2540
 0201e538   120 OBJECT  GLOBAL DEFAULT  442 ana_io_ies_value
 0201e5b0    11 OBJECT  LOCAL  DEFAULT  443 __FUNCTION__.1247
 0201e5bb    22 OBJECT  LOCAL  DEFAULT  444 __func__.1236
 0201e5d1    21 OBJECT  LOCAL  DEFAULT  445 __FUNCTION__.1274
 0201e5e6    22 OBJECT  LOCAL  DEFAULT  446 __FUNCTION__.1235
 0201e5fc    18 OBJECT  LOCAL  DEFAULT  447 __func__.1422
 0201e60e    22 OBJECT  LOCAL  DEFAULT  448 __func__.1435
 0201e624    24 OBJECT  LOCAL  DEFAULT  449 __func__.1351
 0201e63c     4 OBJECT  GLOBAL DEFAULT  450 sys_stack_sz
 0201e640    64 OBJECT  LOCAL  DEFAULT  451 padding
 0201e680    48 OBJECT  LOCAL  DEFAULT  452 g_AC_FIXED_PATTERN
 0201e6c0     4 OBJECT  GLOBAL DEFAULT  454 num_of_emi_records
 0201e6c4   984 OBJECT  GLOBAL DEFAULT  455 emi_settings
 0201eaa0   960 OBJECT  LOCAL  DEFAULT  456 platform_parts
 0201ee60   154 OBJECT  GLOBAL DEFAULT  457 PULL_offset
 0201eefa   154 OBJECT  GLOBAL DEFAULT  458 PULLEN_offset
 0201ef94     4 OBJECT  LOCAL  DEFAULT  459 gpio_dat
 0201ef98   616 OBJECT  GLOBAL DEFAULT  460 PULL_addr
 0201f200   616 OBJECT  GLOBAL DEFAULT  461 PULLEN_addr
 0201f468    20 OBJECT  GLOBAL DEFAULT  462 msdc_cap
 0201f47c    32 OBJECT  GLOBAL DEFAULT  463 msdc_src_clks
 0201f49c     4 OBJECT  LOCAL  DEFAULT  464 mdl_number.1354
 0201f4a0     7 OBJECT  LOCAL  DEFAULT  465 g_line_coding
 0201f4a8     4 OBJECT  GLOBAL DEFAULT  466 fifo_addr
 0201f4ac     8 OBJECT  LOCAL  DEFAULT  467 fs_data_ep_descriptor_ptr
 0201f4b4    24 OBJECT  LOCAL  DEFAULT  468 usbtty_string_table
 0201f4cc     5 OBJECT  LOCAL  DEFAULT  469 header_function_descripto
 0201f4d4     4 OBJECT  LOCAL  DEFAULT  470 fs_comm_ep_descriptor_ptr
 0201f4d8     4 OBJECT  LOCAL  DEFAULT  471 hs_comm_ep_descriptor_ptr
 0201f4dc     5 OBJECT  GLOBAL DEFAULT  472 call_management_descripto
 0201f4e1     9 OBJECT  LOCAL  DEFAULT  473 device_qualifier_descript
 0201f4ec     8 OBJECT  LOCAL  DEFAULT  474 hs_data_ep_descriptor_ptr
 0201f4f4     4 OBJECT  LOCAL  DEFAULT  475 language
 0201f4f8    21 OBJECT  LOCAL  DEFAULT  476 hs_ep_descriptors
 0201f50d    18 OBJECT  LOCAL  DEFAULT  477 device_descriptor
 0201f51f     4 OBJECT  LOCAL  DEFAULT  478 abstract_control_descript
 0201f523    21 OBJECT  LOCAL  DEFAULT  479 fs_ep_descriptors
 0201f538    18 OBJECT  LOCAL  DEFAULT  480 interface_descriptors
 0201f54a     9 OBJECT  LOCAL  DEFAULT  481 config_descriptors
 0201f553     5 OBJECT  GLOBAL DEFAULT  482 union_function_descriptor
 0201f558     4 OBJECT  LOCAL  DEFAULT  483 log_ptr
 0201f55c     4 OBJECT  GLOBAL DEFAULT  484 g_uart
 0201f560    16 OBJECT  GLOBAL DEFAULT  485 sec_crypto_sig_size
 0201f570    20 OBJECT  GLOBAL DEFAULT  486 sec_crypto_hash_size
 0201f584     4 OBJECT  GLOBAL DEFAULT  487 heap_max_size
 0201f588   104 OBJECT  GLOBAL DEFAULT  488 g_devinfo_data_addr
 11141941   176 FUNC    GLOBAL DEFAULT  490 mtk_pll_init
 81d00000 0x20000 OBJECT  GLOBAL DEFAULT  491 emmc_pmt_buf
